example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_027_n5_m20_d60_mult3.txt,5,20,4,0.3,2,0.0027304580435156822,,92,,,True
test_027_n5_m20_d60_mult3.txt,5,20,5,0.3,2,0.0028375829569995403,,115,,,True
scale_1004_n4_m25.txt,4,25,1,0.3,2,0.0024560419842600822,,8,,,True
scale_1004_n4_m25.txt,4,25,2,0.3,2,0.0024150829995051026,,16,,,True
scale_1004_n4_m25.txt,4,25,3,0.3,2,0.002688791952095926,,24,,,True
scale_1004_n4_m25.txt,4,25,4,0.3,2,0.002689333981834352,,32,,,True
scale_1004_n4_m25.txt,4,25,5,0.3,2,0.002601291984319687,,40,,,True
test_001_n8_m25_d30_mult1.txt,8,25,1,0.3,2,0.0025589580181986094,,16,,,True
test_001_n8_m25_d30_mult1.txt,8,25,2,0.3,2,0.0026684580370783806,,32,,,True
test_001_n8_m25_d30_mult1.txt,8,25,3,0.3,2,0.0024928749771788716,,48,,,True
test_001_n8_m25_d30_mult1.txt,8,25,4,0.3,2,0.0025264580035582185,,64,,,True
test_001_n8_m25_d30_mult1.txt,8,25,5,0.3,2,0.0024609999964013696,,80,,,True
test_003_n8_m25_d60_mult2.txt,8,25,1,0.3,2,0.0028931249398738146,,52,,,True
test_003_n8_m25_d60_mult2.txt,8,25,2,0.3,2,0.003055416978895664,,104,,,True
test_003_n8_m25_d60_mult2.txt,8,25,3,0.3,2,0.002591291908174753,,156,,,True
test_003_n8_m25_d60_mult2.txt,8,25,4,0.3,2,0.002474708016961813,,208,,,True
test_003_n8_m25_d60_mult2.txt,8,25,5,0.3,2,0.002484583994373679,,260,,,True
test_006_n5_m25_d40_mult3.txt,5,25,1,0.3,2,0.0023057920625433326,,12,,,True
test_006_n5_m25_d40_mult3.txt,5,25,2,0.3,2,0.002431625034660101,,24,,,True
test_006_n5_m25_d40_mult3.txt,5,25,3,0.3,2,0.0022602080134674907,,36,,,True
test_006_n5_m25_d40_mult3.txt,5,25,4,0.3,2,0.0028057079762220383,,48,,,True
